id;semt_bucak_belde;ilce_id
793;GÖKBEZ;757
794;GÖKÇE;79
795;GÖKÇEAĞAÇ;425
796;GÖKÇEBEY;372
797;GÖKÇEKÖY;789
798;GÖKÇELİ;702
799;GÖKÇEN;884
800;GÖKÇESU;623
801;GÖKÇEYAZI;477
802;GÖKDERE;659
803;GÖKKAYA;16
804;GÖKMEDRESE;630
805;GÖKMEYDAN;708
806;GÖKSU;143
807;GÖKSU;338
808;GÖKSUN;373
809;GÖKTAŞ;59
810;GÖKTAŞ;692
811;GÖKTEPE;785
812;GÖKTÜRK;342
813;GÖLBAŞI;374
814;GÖLBAŞI;375
815;GÖLCÜK;376
816;GÖLE;377
817;GÖLHİSAR;378
818;GÖLKÖY;379
819;GÖLMARMARA;380
820;GÖLOVA;381
821;GÖLPAZARI;382
822;GÖLYAKA;383
823;GÖMBE;526
824;GÖMEÇ;384
825;GÖNEN;385
826;GÖNEN;386
827;GÖRDES;387
828;GÖRE;653
829;GÖRECE;621
830;GÖRELE;388
831;GÖREME;653
832;GÖRÜKLE;703
833;GÖYNÜCEK;389
834;GÖYNÜK;390
835;GÖYNÜK;541
836;GÖZTEPE;483
837;GÜCE;391
838;GÜÇLÜKONAK;392
839;GÜDÜL;393
840;GÜLABİBEY;639
841;GÜLAĞAÇ;394
842;GÜLBAHÇESİ;806
843;GÜLNAR;395
844;GÜLSUYU;610
845;GÜLŞEHİR;396
846;GÜLTEPE;487
847;GÜLTEPE;565
848;GÜLVEREN;611
849;GÜLYALI;397
850;GÜMÜLCELİ;789
851;GÜMÜLDÜR;621
852;GÜMÜŞÇAY;150
853;GÜMÜŞDERE;303
854;GÜMÜŞHACIKÖY;398
855;GÜMÜŞHANE;644
856;GÜMÜŞLER;678
857;GÜMÜŞOVA;399
858;GÜMÜŞPALA;88
859;GÜMÜŞPALA;130
860;GÜMÜŞYAKA;810
861;GÜNDOĞAN;47
862;GÜNDOĞDU;479
863;GÜNDOĞDU(HAMİDİYE);655
864;GÜNDOĞMUŞ;400
865;GÜNDÜZBEY;956
866;GÜNEŞLİ;104
867;GÜNEŞLİ;387
868;GÜNEŞLİ;562
869;GÜNEY;401
870;GÜNEYSINIR;402
871;GÜNEYSU;403
872;GÜNGÖREN;404
