mahalle;semt_bucak_belde_id
TÜLÜ MAH.;1996
YARDİBİ MAH.;1996
YENİKÖY MAH.;1996
YEŞİLBAĞLAR MAH.;1996
ACIDEREOSB MAH.;258
BEYCELİ MAH.;385
BURUK CUMHURİYET MAH.;385
İSTİKLAL MAH.;385
SOFUDEDE MAH.;385
HÜRRİYET MAH.;1012
KEMALPAŞA MAH.;1012
YENİ MAH.;1012
ARSLANLI MAH.;1060
AYDIN MAH.;1060
AYŞEHOCA MAH.;1060
BAĞÖZÜ MAH.;1060
BAĞTEPE MAH.;1060
BOZTAHTA MAH.;1060
BUCAK MAH.;1060
BULDUKLU MAH.;1060
ÇAMDERE MAH.;1060
ÇAMLARCA MAH.;1060
ÇANDIK MAH.;1060
ÇELENUŞAĞI MAH.;1060
ÇOBANPINARI MAH.;1060
ÇOKAK MAH.;1060
ÇUKURÖREN MAH.;1060
ÇULLUUŞAĞI MAH.;1060
ÇÜRÜKLÜ MAH.;1060
DAMYERİ MAH.;1060
DİKİLİTAŞ MAH.;1060
DİLEKKAYA MAH.;1060
DOĞANALANI MAH.;1060
DURALUŞAĞI MAH.;1060
DURMUŞLU MAH.;1060
DÜZAĞAÇ MAH.;1060
ENİZÇAKIRI MAH.;1060
ERGENUŞAĞI MAH.;1060
ESKİKABASAKAL MAH.;1060
ESKİMANTAŞ MAH.;1060
FAYDALI MAH.;1060
FERHATLI MAH.;1060
GEDİKLİ MAH.;1060
GÖKÇEYOL MAH.;1060
GÖKGÖZ MAH.;1060
GÖRBEYAZ MAH.;1060
GÜNERİ MAH.;1060
HACIMİRZALI MAH.;1060
HAMAM MAH.;1060
ILICA MAH.;1060
IŞIKKAYA MAH.;1060
IŞIKLI MAH.;1060
İDEMKÖY MAH.;1060
KABAKTEPE MAH.;1060
KAHVELİ MAH.;1060
KALKUMAÇ MAH.;1060
KAPIKAYA MAH.;1060
KARABUCAK MAH.;1060
KARACAÖREN MAH.;1060
KARAHAMZALI MAH.;1060
KARANEBİLİ MAH.;1060
KEMERKÖY MAH.;1060
KIBRISLAR MAH.;1060
KIZILLAR MAH.;1060
KIZLARSEKİSİ MAH.;1060
KÖSELİ MAH.;1060
KUYTUCAK MAH.;1060
KUYUBELİ MAH.;1060
KUYULUK MAH.;1060
MAHYALAR MAH.;1060
MARANKEÇİLİ MAH.;1060
MİNNETLİ MAH.;1060
ORÇAN MAH.;1060
ORUÇLU MAH.;1060
ÖRENDERE MAH.;1060
ÖZBAŞI MAH.;1060
PEKMEZCİ MAH.;1060
POSTKABASAKAL MAH.;1060
SALMANLI MAH.;1060
ŞERİFLİ MAH.;1060
TEPECİKÖREN MAH.;1060
TUFANLI MAH.;1060
TURGUTLU MAH.;1060
TURUNÇLU MAH.;1060
VELİCANLI MAH.;1060
YANALERİK MAH.;1060
YASSIÇALI MAH.;1060
YENİKÖY MAH.;1060
ACIDERE MAH.;1908
AFLAK MAH.;1908
AKKUYU MAH.;1908
AVCILAR MAH.;1908
AYDINYURDU MAH.;1908
AYVALI MAH.;1908
BAYRAM HACILI MAH.;1908
BOYNUYOĞUN MAH.;1908
BOZTEPE MAH.;1908
BÜYÜK BAKLALI MAH.;1908
CERENLİ MAH.;1908
CİHADİYE MAH.;1908
ÇAMLICA MAH.;1908
ÇARKIPARE MAH.;1908
